DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),1-4,10,563033,106
Diabetes mellitus (E10-E14),1-4,0,563033,108
Alzheimer’s disease (G30),1-4,0,563033,110
Hypertensive heart disease with or without renal disease (I11I13),1-4,0,563033,112
Ischemic heart diseases (I20-I25),1-4,2,563033,114
Other diseases of heart (I00-I09I26-I51),1-4,4,563033,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),1-4,0,563033,118
Cerebrovascular diseases (I60-I69),1-4,3,563033,120
Atherosclerosis (I70),1-4,0,563033,122
Other diseases of circulatory system (I71-I78),1-4,0,563033,124
Influenza and pneumonia (J09-J18),1-4,1,563033,126
Chronic lower respiratory diseases (J40-J47),1-4,3,563033,128
Peptic ulcer (K25-K28),1-4,0,563033,130
Chronic liver disease and cirrhosis (K70K73-K74),1-4,0,563033,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),1-4,1,563033,134
Pregnancy childbirth and the puerperium (O00-O99),1-4,0,563033,136
Certain conditions originating in the perinatal period (P00-P96),1-4,0,563033,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1-4,21,563033,140
Sudden infant death syndrome (R95),1-4,0,563033,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),1-4,6,563033,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),1-4,38,563033,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1-4,11,563033,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),1-4,30,563033,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),1-4,0,563033,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),1-4,24,563033,154
All other external causes (Y10-Y36Y87.2Y89),1-4,1,563033,156
Tuberculosis (A16-A19),5-14,0,1501690,160
Syphilis (A50-A53),5-14,0,1501690,162
Human immunodeficiency virus (HIV) disease (B20-B24),5-14,0,1501690,164
Malignant neoplasm of stomach (C16),5-14,0,1501690,166
Malignant neoplasms of colon rectum and anus (C18-C21),5-14,0,1501690,168
Malignant neoplasm of pancreas (C25),5-14,0,1501690,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),5-14,0,1501690,172
Malignant neoplasm of breast (C50),5-14,0,1501690,174
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),5-14,1,1501690,176
Malignant neoplasm of prostate (C61),5-14,0,1501690,178
Malignant neoplasms of urinary tract (C64-C68),5-14,0,1501690,180
Non-Hodgkin’s lymphoma (C82-C85),5-14,1,1501690,182
Leukemia (C91-C95),5-14,6,1501690,184
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),5-14,18,1501690,186
Diabetes mellitus (E10-E14),5-14,1,1501690,188
Alzheimer’s disease (G30),5-14,0,1501690,190
Hypertensive heart disease with or without renal disease (I11I13),5-14,0,1501690,192
Ischemic heart diseases (I20-I25),5-14,1,1501690,194
Other diseases of heart (I00-I09I26-I51),5-14,4,1501690,196
Essential (primary) hypertension and hypertensive renal disease (I10I12),5-14,0,1501690,198
Cerebrovascular diseases (I60-I69),5-14,1,1501690,200
Atherosclerosis (I70),5-14,0,1501690,202
Other diseases of circulatory system (I71-I78),5-14,0,1501690,204
Influenza and pneumonia (J09-J18),5-14,2,1501690,206
Chronic lower respiratory diseases (J40-J47),5-14,4,1501690,208
Peptic ulcer (K25-K28),5-14,0,1501690,210
Chronic liver disease and cirrhosis (K70K73-K74),5-14,0,1501690,212
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),5-14,0,1501690,214
Pregnancy childbirth and the puerperium (O00-O99),5-14,0,1501690,216
Certain conditions originating in the perinatal period (P00-P96),5-14,6,1501690,218
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),5-14,9,1501690,220
Sudden infant death syndrome (R95),5-14,0,1501690,222
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),5-14,3,1501690,224
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),5-14,45,1501690,226
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),5-14,19,1501690,228
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),5-14,18,1501690,230
Intentional self-harm (suicide) (*U03X60-X84Y87.0),5-14,18,1501690,232
Assault (homicide) (*U01-*U02X85-Y09Y87.1),5-14,17,1501690,234
All other external causes (Y10-Y36Y87.2Y89),5-14,4,1501690,236
Tuberculosis (A16-A19),15-24,1,1584924,240
Syphilis (A50-A53),15-24,0,1584924,242
Human immunodeficiency virus (HIV) disease (B20-B24),15-24,1,1584924,244
Malignant neoplasm of stomach (C16),15-24,0,1584924,246
Malignant neoplasms of colon rectum and anus (C18-C21),15-24,3,1584924,248
Malignant neoplasm of pancreas (C25),15-24,0,1584924,250
Malignant neoplasms of trachea bronchus and lung (C33-C34),15-24,1,1584924,252
Malignant neoplasm of breast (C50),15-24,0,1584924,254
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),15-24,1,1584924,256
Malignant neoplasm of prostate (C61),15-24,0,1584924,258
Malignant neoplasms of urinary tract (C64-C68),15-24,1,1584924,260
Non-Hodgkin’s lymphoma (C82-C85),15-24,2,1584924,262
Leukemia (C91-C95),15-24,9,1584924,264
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),15-24,24,1584924,266
Diabetes mellitus (E10-E14),15-24,10,1584924,268
Alzheimer’s disease (G30),15-24,0,1584924,270
Hypertensive heart disease with or without renal disease (I11I13),15-24,3,1584924,272
Ischemic heart diseases (I20-I25),15-24,3,1584924,274
Other diseases of heart (I00-I09I26-I51),15-24,34,1584924,276
Essential (primary) hypertension and hypertensive renal disease (I10I12),15-24,0,1584924,278
Cerebrovascular diseases (I60-I69),15-24,10,1584924,280
Atherosclerosis (I70),15-24,0,1584924,282
Other diseases of circulatory system (I71-I78),15-24,1,1584924,284
Influenza and pneumonia (J09-J18),15-24,2,1584924,286
Chronic lower respiratory diseases (J40-J47),15-24,6,1584924,288
Peptic ulcer (K25-K28),15-24,0,1584924,290
Chronic liver disease and cirrhosis (K70K73-K74),15-24,0,1584924,292
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),15-24,5,1584924,294
Pregnancy childbirth and the puerperium (O00-O99),15-24,8,1584924,296
Certain conditions originating in the perinatal period (P00-P96),15-24,0,1584924,298
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),15-24,21,1584924,300
Sudden infant death syndrome (R95),15-24,0,1584924,302
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),15-24,12,1584924,304
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),15-24,108,1584924,306
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),15-24,222,1584924,308
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),15-24,212,1584924,310
Intentional self-harm (suicide) (*U03X60-X84Y87.0),15-24,177,1584924,312
Assault (homicide) (*U01-*U02X85-Y09Y87.1),15-24,170,1584924,314
All other external causes (Y10-Y36Y87.2Y89),15-24,16,1584924,316
Tuberculosis (A16-A19),25-34,0,1431920,320
Syphilis (A50-A53),25-34,0,1431920,322
Human immunodeficiency virus (HIV) disease (B20-B24),25-34,16,1431920,324
Malignant neoplasm of stomach (C16),25-34,3,1431920,326
Malignant neoplasms of colon rectum and anus (C18-C21),25-34,13,1431920,328
Malignant neoplasm of pancreas (C25),25-34,2,1431920,330
Malignant neoplasms of trachea bronchus and lung (C33-C34),25-34,5,1431920,332
Malignant neoplasm of breast (C50),25-34,12,1431920,334
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),25-34,17,1431920,336
Malignant neoplasm of prostate (C61),25-34,0,1431920,338
Malignant neoplasms of urinary tract (C64-C68),25-34,1,1431920,340
Non-Hodgkin’s lymphoma (C82-C85),25-34,9,1431920,342
Leukemia (C91-C95),25-34,16,1431920,344
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),25-34,62,1431920,346
Diabetes mellitus (E10-E14),25-34,22,1431920,348
Alzheimer’s disease (G30),25-34,0,1431920,350
Hypertensive heart disease with or without renal disease (I11I13),25-34,21,1431920,352
Ischemic heart diseases (I20-I25),25-34,54,1431920,354
Other diseases of heart (I00-I09I26-I51),25-34,74,1431920,356
Essential (primary) hypertension and hypertensive renal disease (I10I12),25-34,1,1431920,358
Cerebrovascular diseases (I60-I69),25-34,14,1431920,360
Atherosclerosis (I70),25-34,0,1431920,362
Other diseases of circulatory system (I71-I78),25-34,7,1431920,364
Influenza and pneumonia (J09-J18),25-34,16,1431920,366
Chronic lower respiratory diseases (J40-J47),25-34,8,1431920,368
Peptic ulcer (K25-K28),25-34,2,1431920,370
Chronic liver disease and cirrhosis (K70K73-K74),25-34,16,1431920,372
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),25-34,7,1431920,374
Pregnancy childbirth and the puerperium (O00-O99),25-34,15,1431920,376
Certain conditions originating in the perinatal period (P00-P96),25-34,1,1431920,378
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),25-34,23,1431920,380
Sudden infant death syndrome (R95),25-34,0,1431920,382
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),25-34,14,1431920,384
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),25-34,197,1431920,386
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),25-34,188,1431920,388
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),25-34,521,1431920,390
Intentional self-harm (suicide) (*U03X60-X84Y87.0),25-34,233,1431920,392
Assault (homicide) (*U01-*U02X85-Y09Y87.1),25-34,156,1431920,394
All other external causes (Y10-Y36Y87.2Y89),25-34,19,1431920,396
Tuberculosis (A16-A19),35-44,0,1427254,400
Syphilis (A50-A53),35-44,0,1427254,402
Human immunodeficiency virus (HIV) disease (B20-B24),35-44,25,1427254,404
Malignant neoplasm of stomach (C16),35-44,10,1427254,406
Malignant neoplasms of colon rectum and anus (C18-C21),35-44,43,1427254,408
Malignant neoplasm of pancreas (C25),35-44,17,1427254,410
Malignant neoplasms of trachea bronchus and lung (C33-C34),35-44,79,1427254,412
Malignant neoplasm of breast (C50),35-44,86,1427254,414
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),35-44,52,1427254,416
Malignant neoplasm of prostate (C61),35-44,2,1427254,418
Malignant neoplasms of urinary tract (C64-C68),35-44,9,1427254,420
Non-Hodgkin’s lymphoma (C82-C85),35-44,20,1427254,422
Leukemia (C91-C95),35-44,19,1427254,424
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),35-44,158,1427254,426
Diabetes mellitus (E10-E14),35-44,83,1427254,428
Alzheimer’s disease (G30),35-44,0,1427254,430
Hypertensive heart disease with or without renal disease (I11I13),35-44,75,1427254,432
Ischemic heart diseases (I20-I25),35-44,227,1427254,434
Other diseases of heart (I00-I09I26-I51),35-44,148,1427254,436
Essential (primary) hypertension and hypertensive renal disease (I10I12),35-44,11,1427254,438
Cerebrovascular diseases (I60-I69),35-44,65,1427254,440
Atherosclerosis (I70),35-44,1,1427254,442
Other diseases of circulatory system (I71-I78),35-44,13,1427254,444
Influenza and pneumonia (J09-J18),35-44,18,1427254,446
Chronic lower respiratory diseases (J40-J47),35-44,52,1427254,448
Peptic ulcer (K25-K28),35-44,1,1427254,450
Chronic liver disease and cirrhosis (K70K73-K74),35-44,77,1427254,452
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),35-44,24,1427254,454
Pregnancy childbirth and the puerperium (O00-O99),35-44,7,1427254,456
Certain conditions originating in the perinatal period (P00-P96),35-44,0,1427254,458
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),35-44,15,1427254,460
Sudden infant death syndrome (R95),35-44,0,1427254,462
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),35-44,38,1427254,464
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),35-44,372,1427254,466
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),35-44,167,1427254,468
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),35-44,571,1427254,470
Intentional self-harm (suicide) (*U03X60-X84Y87.0),35-44,254,1427254,472
Assault (homicide) (*U01-*U02X85-Y09Y87.1),35-44,105,1427254,474
All other external causes (Y10-Y36Y87.2Y89),35-44,25,1427254,476
Tuberculosis (A16-A19),45-54,1,1671416,480
Syphilis (A50-A53),45-54,0,1671416,482
Human immunodeficiency virus (HIV) disease (B20-B24),45-54,46,1671416,484
Malignant neoplasm of stomach (C16),45-54,39,1671416,486
Malignant neoplasms of colon rectum and anus (C18-C21),45-54,211,1671416,488
Malignant neoplasm of pancreas (C25),45-54,122,1671416,490
Malignant neoplasms of trachea bronchus and lung (C33-C34),45-54,566,1671416,492
Malignant neoplasm of breast (C50),45-54,225,1671416,494
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),45-54,131,1671416,496
Malignant neoplasm of prostate (C61),45-54,16,1671416,498
Malignant neoplasms of urinary tract (C64-C68),45-54,73,1671416,500
Non-Hodgkin’s lymphoma (C82-C85),45-54,42,1671416,502
Leukemia (C91-C95),45-54,46,1671416,504
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),45-54,589,1671416,506
Diabetes mellitus (E10-E14),45-54,250,1671416,508
Alzheimer’s disease (G30),45-54,3,1671416,510
Hypertensive heart disease with or without renal disease (I11I13),45-54,185,1671416,512
Ischemic heart diseases (I20-I25),45-54,976,1671416,514
Other diseases of heart (I00-I09I26-I51),45-54,361,1671416,516
Essential (primary) hypertension and hypertensive renal disease (I10I12),45-54,50,1671416,518
Cerebrovascular diseases (I60-I69),45-54,216,1671416,520
Atherosclerosis (I70),45-54,5,1671416,522
Other diseases of circulatory system (I71-I78),45-54,46,1671416,524
Influenza and pneumonia (J09-J18),45-54,87,1671416,526
Chronic lower respiratory diseases (J40-J47),45-54,246,1671416,528
Peptic ulcer (K25-K28),45-54,8,1671416,530
Chronic liver disease and cirrhosis (K70K73-K74),45-54,319,1671416,532
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),45-54,101,1671416,534
Pregnancy childbirth and the puerperium (O00-O99),45-54,9,1671416,536
Certain conditions originating in the perinatal period (P00-P96),45-54,0,1671416,538
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),45-54,29,1671416,540
Sudden infant death syndrome (R95),45-54,0,1671416,542
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),45-54,80,1671416,544
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),45-54,1064,1671416,546
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),45-54,195,1671416,548
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),45-54,772,1671416,550
Intentional self-harm (suicide) (*U03X60-X84Y87.0),45-54,324,1671416,552
Assault (homicide) (*U01-*U02X85-Y09Y87.1),45-54,63,1671416,554
All other external causes (Y10-Y36Y87.2Y89),45-54,40,1671416,556
Tuberculosis (A16-A19),55-64,6,1530126,560
Syphilis (A50-A53),55-64,0,1530126,562
Human immunodeficiency virus (HIV) disease (B20-B24),55-64,39,1530126,564
Malignant neoplasm of stomach (C16),55-64,58,1530126,566
Malignant neoplasms of colon rectum and anus (C18-C21),55-64,395,1530126,568
Malignant neoplasm of pancreas (C25),55-64,358,1530126,570
Malignant neoplasms of trachea bronchus and lung (C33-C34),55-64,1570,1530126,572
Malignant neoplasm of breast (C50),55-64,387,1530126,574
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),55-64,270,1530126,576
Malignant neoplasm of prostate (C61),55-64,114,1530126,578
Malignant neoplasms of urinary tract (C64-C68),55-64,195,1530126,580
Non-Hodgkin’s lymphoma (C82-C85),55-64,128,1530126,582
Leukemia (C91-C95),55-64,119,1530126,584
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),55-64,1402,1530126,586
Diabetes mellitus (E10-E14),55-64,595,1530126,588
Alzheimer’s disease (G30),55-64,35,1530126,590
Hypertensive heart disease with or without renal disease (I11I13),55-64,335,1530126,592
Ischemic heart diseases (I20-I25),55-64,2050,1530126,594
Other diseases of heart (I00-I09I26-I51),55-64,797,1530126,596
Essential (primary) hypertension and hypertensive renal disease (I10I12),55-64,142,1530126,598
Cerebrovascular diseases (I60-I69),55-64,442,1530126,600
Atherosclerosis (I70),55-64,17,1530126,602
Other diseases of circulatory system (I71-I78),55-64,80,1530126,604
Influenza and pneumonia (J09-J18),55-64,176,1530126,606
Chronic lower respiratory diseases (J40-J47),55-64,798,1530126,608
Peptic ulcer (K25-K28),55-64,23,1530126,610
Chronic liver disease and cirrhosis (K70K73-K74),55-64,422,1530126,612
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),55-64,212,1530126,614
Pregnancy childbirth and the puerperium (O00-O99),55-64,0,1530126,616
Certain conditions originating in the perinatal period (P00-P96),55-64,0,1530126,618
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),55-64,37,1530126,620
Sudden infant death syndrome (R95),55-64,0,1530126,622
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),55-64,128,1530126,624
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),55-64,2148,1530126,626
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),55-64,159,1530126,628
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),55-64,504,1530126,630
Intentional self-harm (suicide) (*U03X60-X84Y87.0),55-64,263,1530126,632
Assault (homicide) (*U01-*U02X85-Y09Y87.1),55-64,43,1530126,634
All other external causes (Y10-Y36Y87.2Y89),55-64,22,1530126,636
Tuberculosis (A16-A19),65-74,2,923470,640
Syphilis (A50-A53),65-74,0,923470,642
Human immunodeficiency virus (HIV) disease (B20-B24),65-74,12,923470,644
Malignant neoplasm of stomach (C16),65-74,90,923470,646
Malignant neoplasms of colon rectum and anus (C18-C21),65-74,503,923470,648
Malignant neoplasm of pancreas (C25),65-74,437,923470,650
Malignant neoplasms of trachea bronchus and lung (C33-C34),65-74,2338,923470,652
Malignant neoplasm of breast (C50),65-74,346,923470,654
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),65-74,254,923470,656
Malignant neoplasm of prostate (C61),65-74,231,923470,658
Malignant neoplasms of urinary tract (C64-C68),65-74,275,923470,660
Non-Hodgkin’s lymphoma (C82-C85),65-74,194,923470,662
Leukemia (C91-C95),65-74,211,923470,664
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),65-74,1528,923470,666
Diabetes mellitus (E10-E14),65-74,864,923470,668
Alzheimer’s disease (G30),65-74,184,923470,670
Hypertensive heart disease with or without renal disease (I11I13),65-74,239,923470,672
Ischemic heart diseases (I20-I25),65-74,2696,923470,674
Other diseases of heart (I00-I09I26-I51),65-74,1084,923470,676
Essential (primary) hypertension and hypertensive renal disease (I10I12),65-74,167,923470,678
Cerebrovascular diseases (I60-I69),65-74,815,923470,680
Atherosclerosis (I70),65-74,34,923470,682
Other diseases of circulatory system (I71-I78),65-74,174,923470,684
Influenza and pneumonia (J09-J18),65-74,253,923470,686
Chronic lower respiratory diseases (J40-J47),65-74,1721,923470,688
Peptic ulcer (K25-K28),65-74,18,923470,690
Chronic liver disease and cirrhosis (K70K73-K74),65-74,246,923470,692
